AttGlow, DefGlow, AttSkill, DefSkill, Total, OnTarget, Dodges, Hits
0.8, 0.8, 11, 16, 10000, 6385, 1076, 5309
0.8, 0.9, 17, 3, 10000, 6945, 195, 6750
0.8, 1.0, 11, 8, 10000, 6406, 610, 5796
0.8, 1.1, 18, 19, 10000, 7012, 2688, 4324
0.8, 1.2000000000000002, 16, 15, 10000, 6861, 2378, 4483
0.9, 0.8, 16, 20, 10000, 7754, 1604, 6150
0.9, 0.9, 20, 8, 10000, 8027, 544, 7483
0.9, 1.0, 1, 0, 10000, 4777, 53, 4724
0.9, 1.1, 19, 5, 10000, 7889, 468, 7421
0.9, 1.2000000000000002, 7, 5, 10000, 6391, 415, 5976
1.0, 0.8, 3, 13, 10000, 5870, 594, 5276
1.0, 0.9, 10, 7, 10000, 7698, 395, 7303
1.0, 1.0, 0, 4, 10000, 4914, 165, 4749
1.0, 1.1, 8, 6, 10000, 7267, 486, 6781
1.0, 1.2000000000000002, 10, 19, 10000, 7750, 3058, 4692
1.1, 0.8, 4, 20, 10000, 6908, 1110, 5798
1.1, 0.9, 16, 13, 10000, 9476, 1143, 8333
1.1, 1.0, 1, 11, 10000, 5835, 697, 5138
1.1, 1.1, 13, 1, 10000, 9103, 172, 8931
1.1, 1.2000000000000002, 7, 18, 10000, 7692, 2628, 5064
1.2000000000000002, 0.8, 14, 19, 10000, 9834, 1306, 8528
1.2000000000000002, 0.9, 6, 0, 10000, 8170, 78, 8092
1.2000000000000002, 1.0, 13, 17, 10000, 9730, 1860, 7870
1.2000000000000002, 1.1, 2, 20, 10000, 6714, 1872, 4842
1.2000000000000002, 1.2000000000000002, 16, 8, 10000, 9948, 972, 8976
0.8, 0.8, 15, 1, 10000, 6857, 101, 6756
0.8, 0.9, 11, 15, 10000, 6404, 1346, 5058
0.8, 1.0, 13, 7, 10000, 6566, 504, 6062
0.8, 1.1, 7, 7, 10000, 5673, 526, 5147
0.8, 1.2000000000000002, 5, 8, 10000, 5214, 702, 4512
0.9, 0.8, 3, 5, 10000, 5417, 203, 5214
0.9, 0.9, 9, 14, 10000, 6854, 1138, 5716
0.9, 1.0, 20, 8, 10000, 8006, 745, 7261
